GPU,Queue,Graph,Vertices,Edges,Threads,Block,Time_med_s,Time_iqr_s,TEPS_med_Gedges/s,TEPS_iqr_Gedges/s
MI210,WFQ,ak2010.mtx,45292,217098,4096,256,27.2481,0.194813,0.00459174,3.80501e-05
MI210,WFQ,ak2010.mtx,45292,217098,8192,256,44.8374,0.146262,0.000421194,1.35595e-06
MI210,WFQ,belgium_osm.mtx,1441295,3099940,512,256,279.969,0.347616,0.0119878,1.21166e-05
MI210,WFQ,belgium_osm.mtx,1441295,3099940,1024,256,345.083,1.29512,0.00961502,3.07781e-05
MI210,WFQ,belgium_osm.mtx,1441295,3099940,2048,256,198.339,0.904082,0.0166073,2.79823e-05
MI210,WFQ,belgium_osm.mtx,1441295,3099940,4096,256,231.653,0.284674,0.00947939,1.40398e-05
MI210,WFQ,belgium_osm.mtx,1441295,3099940,8192,256,363.972,3.16957,0.0023569,2.13322e-05
MI210,WFQ,delaunay_n24.mtx,16777216,100663202,512,256,1912.8,0.29566,0.0540908,1.03369e-05
MI210,WFQ,delaunay_n24.mtx,16777216,100663202,1024,256,1126.76,0.449553,0.0937926,4.21385e-05
MI210,WFQ,delaunay_n24.mtx,16777216,100663202,2048,256,758.602,0.942572,0.143371,5.55222e-05
MI210,WFQ,delaunay_n24.mtx,16777216,100663202,4096,256,633.736,0.540708,0.176254,0.000142701
MI210,WFQ,delaunay_n24.mtx,16777216,100663202,8192,256,712.089,0.475477,0.157955,0.000134796
MI210,WFQ,roadNet-CA.mtx,1971281,5533214,512,256,172.032,0.435766,0.0342285,9.43995e-05
MI210,WFQ,roadNet-CA.mtx,1971281,5533214,1024,256,129.061,0.295283,0.0469078,9.66855e-05
MI210,WFQ,roadNet-CA.mtx,1971281,5533214,2048,256,121.197,0.262924,0.0507934,7.88715e-05
MI210,WFQ,roadNet-CA.mtx,1971281,5533214,4096,256,150.61,0.470628,0.0406879,0.000192696
MI210,WFQ,roadNet-CA.mtx,1971281,5533214,8192,256,155.912,0.548007,0.0316486,9.308e-05
MI210,WFQ,road_usa.mtx,23947347,57708624,512,256,2032.7,0.703,0.0302294,1.90337e-05
MI210,WFQ,road_usa.mtx,23947347,57708624,1024,256,1427.14,0.643473,0.0444543,2.33167e-05
MI210,WFQ,road_usa.mtx,23947347,57708624,2048,256,1229.05,0.652319,0.053028,3.15088e-05
MI210,WFQ,road_usa.mtx,23947347,57708624,4096,256,1351.27,1.37351,0.0486107,2.79333e-05
MI210,WFQ,road_usa.mtx,23947347,57708624,8192,256,1297.46,1.9885,0.0439867,4.94291e-05
MI210,WFQ,hollywood-2009.mtx,1139905,112751422,512,256,351.428,2.58328,0.322596,0.00240428
MI210,WFQ,hollywood-2009.mtx,1139905,112751422,1024,256,186.247,1.2221,0.61232,0.00404313
MI210,WFQ,hollywood-2009.mtx,1139905,112751422,2048,256,109.942,0.280893,1.04628,0.00281217
MI210,WFQ,hollywood-2009.mtx,1139905,112751422,4096,256,80.7075,0.630979,1.43698,0.0117664
MI210,WFQ,hollywood-2009.mtx,1139905,112751422,8192,256,87.1094,0.75745,1.33004,0.0122681
MI210,WFQ,kron_g500-logn21.mtx,2097152,182081864,512,256,763.633,3.9467,0.239415,0.0012767
MI210,WFQ,kron_g500-logn21.mtx,2097152,182081864,1024,256,382.948,2.72522,0.479304,0.003447
MI210,WFQ,kron_g500-logn21.mtx,2097152,182081864,2048,256,197.642,1.17368,0.936027,0.00586596
MI210,WFQ,kron_g500-logn21.mtx,2097152,182081864,4096,256,108.522,0.825461,1.7273,0.0141404
MI210,WFQ,kron_g500-logn21.mtx,2097152,182081864,8192,256,68.6646,0.380665,2.78099,0.0146216
MI210,WFQ,europe_osm.mtx,50912018,108109320,512,256,6160.49,7.20972,0.0184884,1.75312e-05
MI210,WFQ,europe_osm.mtx,50912018,108109320,1024,256,6385.02,1.86767,0.0178553,5.27915e-06
MI210,WFQ,europe_osm.mtx,50912018,108109320,2048,256,8995.43,5.50156,0.0125245,1.54403e-05
MI210,WFQ,europe_osm.mtx,50912018,108109320,4096,256,15340.9,21.1165,0.00724907,1.09176e-05
MI210,WFQ,europe_osm.mtx,50912018,108109320,8192,256,2733.57,3.73387,0.0402373,6.36689e-05
MI300A,SFQ,ak2010.mtx,45292,217098,1024,256,109.855,1.52342,0.00187035,2.57201e-05
MI300A,SFQ,ak2010.mtx,45292,217098,1024,256,116.861,4.61036,0.00175955,7.18981e-05
MI300A,SFQ,roadNet-CA.mtx,1971281,5533214,1024,256,4023.18,24.8951,0.0013768,7.61904e-06
MI300A,SFQ,ak2010.mtx,45292,217098,512,256,83.2222,1.71619,0.00248596,5.30691e-05
MI300A,SFQ,ak2010.mtx,45292,217098,1024,256,101.13,2.35188,0.00203868,4.75775e-05
MI300A,SFQ,ak2010.mtx,45292,217098,2048,256,143.103,1.49407,0.00143509,1.30305e-05
MI300A,SFQ,ak2010.mtx,45292,217098,4096,256,243.859,143.672,0.000841115,0.000311699
MI300A,SFQ,ak2010.mtx,45292,217098,8192,256,508.101,2.69041,0.000402771,2.13867e-06
MI300A,SFQ,belgium_osm.mtx,1441295,3099940,512,256,2737.42,21.4418,0.00114288,9.50312e-06
MI300A,SFQ,belgium_osm.mtx,1441295,3099940,1024,256,3537.49,60.1886,0.000882513,1.52829e-05
MI300A,SFQ,belgium_osm.mtx,1441295,3099940,2048,256,4796.31,111.209,0.000649363,5.97037e-06
MI300A,SFQ,belgium_osm.mtx,1441295,3099940,4096,256,9005.13,184.004,0.000345169,7.21477e-06
MI300A,SFQ,belgium_osm.mtx,1441295,3099940,8192,256,17214.1,228.299,0.000180325,2.43681e-06
MI300A,SFQ,delaunay_n24.mtx,16777216,100663202,512,256,26581.2,90.8475,0.00379082,1.34331e-05
MI300A,SFQ,delaunay_n24.mtx,16777216,100663202,1024,256,30823.1,377.104,0.00326841,3.9819e-05
MI300A,SFQ,delaunay_n24.mtx,16777216,100663202,2048,256,45179,2465.31,0.00222928,0.000126594
MI300A,SFQ,delaunay_n24.mtx,16777216,100663202,4096,256,75940.8,128.272,0.00132619,2.04438e-06
MI300A,SFQ,ak2010.mtx,45292,217098,512,256,85.6676,1.01989,0.00242931,2.98282e-05
MI300A,SFQ,ak2010.mtx,45292,217098,1024,256,103.724,2.4488,0.00198839,4.95697e-05
MI300A,SFQ,ak2010.mtx,45292,217098,2048,256,142.412,0.707126,0.00145316,7.54627e-06
MI300A,SFQ,ak2010.mtx,45292,217098,4096,256,254.608,32.5482,0.00080814,2.2661e-06
MI300A,SFQ,ak2010.mtx,45292,217098,8192,256,532.377,125.212,0.000385792,7.87737e-05
MI300A,SFQ,belgium_osm.mtx,1441295,3099940,512,256,2476.47,50.7494,0.0012705,8.10671e-06
MI300A,SFQ,belgium_osm.mtx,1441295,3099940,1024,256,3170.09,17.3478,0.000988588,4.44459e-06
MI300A,SFQ,belgium_osm.mtx,1441295,3099940,2048,256,4567.63,2.23158,0.00068344,1.129e-06
MI300A,SFQ,belgium_osm.mtx,1441295,3099940,4096,256,8941.58,25.8362,0.000347631,1.18134e-06
MI300A,SFQ,belgium_osm.mtx,1441295,3099940,8192,256,17407,159.297,0.000178362,1.39994e-06
MI300A,SFQ,delaunay_n24.mtx,16777216,100663202,512,256,26765.1,30.2121,0.00376524,4.916e-06
